County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
38 - San Francisco,11/5/2015,In Review,$422004281.00,52,Bay Area Counties
38 - San Francisco,11/5/2015,Pending Construction,$38738077.00,37,Bay Area Counties
38 - San Francisco,11/5/2015,In Construction,$1226870815.00,141,Bay Area Counties
38 - San Francisco,11/5/2015,In Closure,$432054872.00,22,Bay Area Counties
41 - San Mateo,11/5/2015,In Review,$78892629.00,31,Bay Area Counties
41 - San Mateo,11/5/2015,Pending Construction,$157370558.00,37,Bay Area Counties
41 - San Mateo,11/5/2015,In Construction,$71838643.00,35,Bay Area Counties
41 - San Mateo,11/5/2015,In Closure,$45743421.00,18,Bay Area Counties
43 - Santa Clara,11/5/2015,In Review,$254126339.00,85,Bay Area Counties
43 - Santa Clara,11/5/2015,Pending Construction,$12997946.00,47,Bay Area Counties
43 - Santa Clara,11/5/2015,In Construction,$1692784471.00,130,Bay Area Counties
43 - Santa Clara,11/5/2015,In Closure,$145191674.00,38,Bay Area Counties
48 - Solano,11/5/2015,In Review,$57895045.00,13,Bay Area Counties
48 - Solano,11/5/2015,Pending Construction,$1330530.00,12,Bay Area Counties
48 - Solano,11/5/2015,In Construction,$45053977.00,28,Bay Area Counties
48 - Solano,11/5/2015,In Closure,$12135155.00,28,Bay Area Counties
49 - Sonoma,11/5/2015,In Review,$6371697.00,24,Bay Area Counties
49 - Sonoma,11/5/2015,Pending Construction,$1234306.00,14,Bay Area Counties
49 - Sonoma,11/5/2015,In Construction,$18591082.00,63,Bay Area Counties
49 - Sonoma,11/5/2015,In Closure,$132131578.00,35,Bay Area Counties
56 - Ventura,11/5/2015,In Review,$98504978.00,62,Greater Los Angeles Counties
56 - Ventura,11/5/2015,Pending Construction,$23680547.00,39,Greater Los Angeles Counties
56 - Ventura,11/5/2015,In Construction,$548176981.00,101,Greater Los Angeles Counties
56 - Ventura,11/5/2015,In Closure,$39313012.00,25,Greater Los Angeles Counties
57 - Yolo,11/5/2015,In Review,$3733086.00,6,Greater Sacramento Counties
57 - Yolo,11/5/2015,Pending Construction,$2774326.00,9,Greater Sacramento Counties
57 - Yolo,11/5/2015,In Construction,$4537898.00,14,Greater Sacramento Counties
57 - Yolo,11/5/2015,In Closure,$823730.00,2,Greater Sacramento Counties
01 - Alameda,11/19/2015,In Review,$137982324.00,66,Bay Area Counties
01 - Alameda,11/19/2015,Pending Construction,$76776403.00,112,Bay Area Counties
01 - Alameda,11/19/2015,In Construction,$529586623.00,139,Bay Area Counties
01 - Alameda,11/19/2015,In Closure,$177630421.00,81,Bay Area Counties
07 - Contra Costa,11/19/2015,In Review,$26783803.00,26,Bay Area Counties
07 - Contra Costa,11/19/2015,Pending Construction,$10947717.00,29,Bay Area Counties
07 - Contra Costa,11/19/2015,In Construction,$41640153.00,73,Bay Area Counties
07 - Contra Costa,11/19/2015,In Closure,$9564663.00,24,Bay Area Counties
09 - El Dorado,11/19/2015,In Review,$5611790.00,6,Greater Sacramento Counties
09 - El Dorado,11/19/2015,Pending Construction,$116380.00,2,Greater Sacramento Counties
09 - El Dorado,11/19/2015,In Construction,$14628652.00,14,Greater Sacramento Counties
09 - El Dorado,11/19/2015,In Closure,$141260.00,3,Greater Sacramento Counties
19 - Los Angeles,11/19/2015,In Review,$607902293.00,544,Greater Los Angeles Counties
19 - Los Angeles,11/19/2015,Pending Construction,$229109165.00,522,Greater Los Angeles Counties
19 - Los Angeles,11/19/2015,In Construction,$934916923.00,910,Greater Los Angeles Counties
19 - Los Angeles,11/19/2015,In Closure,$1178078986.00,494,Greater Los Angeles Counties
21 - Marin,11/19/2015,In Review,$189891577.00,19,Bay Area Counties
21 - Marin,11/19/2015,Pending Construction,$99225729.00,17,Bay Area Counties
21 - Marin,11/19/2015,In Construction,$16450370.00,32,Bay Area Counties
21 - Marin,11/19/2015,In Closure,$20320168.00,14,Bay Area Counties
28 - Napa,11/19/2015,In Review,$2998327.00,21,Bay Area Counties
28 - Napa,11/19/2015,Pending Construction,$686517.00,10,Bay Area Counties
28 - Napa,11/19/2015,In Construction,$3186057.00,16,Bay Area Counties
28 - Napa,11/19/2015,In Closure,$85547386.00,18,Bay Area Counties
30 - Orange,11/19/2015,In Review,$52307931.00,72,Greater Los Angeles Counties
30 - Orange,11/19/2015,Pending Construction,$14687123.00,53,Greater Los Angeles Counties
30 - Orange,11/19/2015,In Construction,$106627698.00,198,Greater Los Angeles Counties
30 - Orange,11/19/2015,In Closure,$54753502.00,153,Greater Los Angeles Counties
31 - Placer,11/19/2015,In Review,$1389897.00,15,Greater Sacramento Counties
31 - Placer,11/19/2015,Pending Construction,$1383797.00,9,Greater Sacramento Counties
31 - Placer,11/19/2015,In Construction,$16954990.00,41,Greater Sacramento Counties
31 - Placer,11/19/2015,In Closure,$19956719.00,19,Greater Sacramento Counties
34 - Sacramento,11/19/2015,In Review,$77651588.00,64,Greater Sacramento Counties
34 - Sacramento,11/19/2015,Pending Construction,$122271805.00,58,Greater Sacramento Counties
34 - Sacramento,11/19/2015,In Construction,$302300934.00,137,Greater Sacramento Counties
34 - Sacramento,11/19/2015,In Closure,$113524122.00,62,Greater Sacramento Counties
38 - San Francisco,11/19/2015,In Review,$421656281.00,48,Bay Area Counties
38 - San Francisco,11/19/2015,Pending Construction,$33027677.00,39,Bay Area Counties
38 - San Francisco,11/19/2015,In Construction,$1235397553.00,134,Bay Area Counties
38 - San Francisco,11/19/2015,In Closure,$398868135.00,27,Bay Area Counties
41 - San Mateo,11/19/2015,In Review,$78857629.00,28,Bay Area Counties
41 - San Mateo,11/19/2015,Pending Construction,$157085233.00,38,Bay Area Counties
41 - San Mateo,11/19/2015,In Construction,$71713643.00,32,Bay Area Counties
41 - San Mateo,11/19/2015,In Closure,$8419882.00,19,Bay Area Counties
43 - Santa Clara,11/19/2015,In Review,$257491463.00,85,Bay Area Counties
43 - Santa Clara,11/19/2015,Pending Construction,$13456846.00,47,Bay Area Counties
43 - Santa Clara,11/19/2015,In Construction,$1693322170.00,125,Bay Area Counties
43 - Santa Clara,11/19/2015,In Closure,$146491380.00,45,Bay Area Counties
48 - Solano,11/19/2015,In Review,$57785045.00,11,Bay Area Counties
48 - Solano,11/19/2015,Pending Construction,$1440530.00,14,Bay Area Counties
48 - Solano,11/19/2015,In Construction,$45050777.00,28,Bay Area Counties
48 - Solano,11/19/2015,In Closure,$9626380.00,26,Bay Area Counties
49 - Sonoma,11/19/2015,In Review,$6308497.00,28,Bay Area Counties
49 - Sonoma,11/19/2015,Pending Construction,$1350306.00,14,Bay Area Counties
49 - Sonoma,11/19/2015,In Construction,$18641279.00,63,Bay Area Counties
49 - Sonoma,11/19/2015,In Closure,$132131578.00,35,Bay Area Counties
56 - Ventura,11/19/2015,In Review,$82928807.00,56,Greater Los Angeles Counties
56 - Ventura,11/19/2015,Pending Construction,$21202329.00,38,Greater Los Angeles Counties
56 - Ventura,11/19/2015,In Construction,$550454981.00,102,Greater Los Angeles Counties
56 - Ventura,11/19/2015,In Closure,$38103762.00,24,Greater Los Angeles Counties
57 - Yolo,11/19/2015,In Review,$3551086.00,4,Greater Sacramento Counties
57 - Yolo,11/19/2015,Pending Construction,$2970726.00,12,Greater Sacramento Counties
57 - Yolo,11/19/2015,In Construction,$4483805.00,13,Greater Sacramento Counties
57 - Yolo,11/19/2015,In Closure,$823730.00,2,Greater Sacramento Counties
01 - Alameda,12/3/2015,In Review,$137994324.00,67,Bay Area Counties
01 - Alameda,12/3/2015,Pending Construction,$76776913.00,112,Bay Area Counties
01 - Alameda,12/3/2015,In Construction,$529586623.00,139,Bay Area Counties
01 - Alameda,12/3/2015,In Closure,$177630421.00,81,Bay Area Counties
07 - Contra Costa,12/3/2015,In Review,$27152003.00,28,Bay Area Counties
07 - Contra Costa,12/3/2015,Pending Construction,$10947717.00,29,Bay Area Counties
07 - Contra Costa,12/3/2015,In Construction,$41622153.00,72,Bay Area Counties
07 - Contra Costa,12/3/2015,In Closure,$9589663.00,25,Bay Area Counties
09 - El Dorado,12/3/2015,In Review,$5562790.00,5,Greater Sacramento Counties
09 - El Dorado,12/3/2015,Pending Construction,$116380.00,2,Greater Sacramento Counties
09 - El Dorado,12/3/2015,In Construction,$14580182.00,14,Greater Sacramento Counties
09 - El Dorado,12/3/2015,In Closure,$141260.00,3,Greater Sacramento Counties
19 - Los Angeles,12/3/2015,In Review,$598170359.00,543,Greater Los Angeles Counties
19 - Los Angeles,12/3/2015,Pending Construction,$233683138.00,519,Greater Los Angeles Counties
19 - Los Angeles,12/3/2015,In Construction,$929573293.00,894,Greater Los Angeles Counties
19 - Los Angeles,12/3/2015,In Closure,$1187806954.00,513,Greater Los Angeles Counties
21 - Marin,12/3/2015,In Review,$189888577.00,19,Bay Area Counties
21 - Marin,12/3/2015,Pending Construction,$99257729.00,18,Bay Area Counties
21 - Marin,12/3/2015,In Construction,$16421823.00,30,Bay Area Counties
21 - Marin,12/3/2015,In Closure,$20464366.00,16,Bay Area Counties
28 - Napa,12/3/2015,In Review,$3014827.00,22,Bay Area Counties
28 - Napa,12/3/2015,Pending Construction,$384314.00,9,Bay Area Counties
28 - Napa,12/3/2015,In Construction,$3508260.00,18,Bay Area Counties
28 - Napa,12/3/2015,In Closure,$85547386.00,18,Bay Area Counties
30 - Orange,12/3/2015,In Review,$95074722.00,78,Greater Los Angeles Counties
30 - Orange,12/3/2015,Pending Construction,$14972339.00,54,Greater Los Angeles Counties
30 - Orange,12/3/2015,In Construction,$106145041.00,193,Greater Los Angeles Counties
30 - Orange,12/3/2015,In Closure,$55611864.00,160,Greater Los Angeles Counties
31 - Placer,12/3/2015,In Review,$1887627.00,16,Greater Sacramento Counties
31 - Placer,12/3/2015,Pending Construction,$1383797.00,9,Greater Sacramento Counties
31 - Placer,12/3/2015,In Construction,$16954990.00,41,Greater Sacramento Counties
31 - Placer,12/3/2015,In Closure,$18645394.00,18,Greater Sacramento Counties
34 - Sacramento,12/3/2015,In Review,$75233414.00,63,Greater Sacramento Counties
34 - Sacramento,12/3/2015,Pending Construction,$124449679.00,59,Greater Sacramento Counties
34 - Sacramento,12/3/2015,In Construction,$300469188.00,133,Greater Sacramento Counties
34 - Sacramento,12/3/2015,In Closure,$116373377.00,67,Greater Sacramento Counties
38 - San Francisco,12/3/2015,In Review,$419699759.00,50,Bay Area Counties
38 - San Francisco,12/3/2015,Pending Construction,$33738555.00,38,Bay Area Counties
38 - San Francisco,12/3/2015,In Construction,$1235644430.00,136,Bay Area Counties
38 - San Francisco,12/3/2015,In Closure,$398943584.00,28,Bay Area Counties
41 - San Mateo,12/3/2015,In Review,$77840601.00,26,Bay Area Counties
41 - San Mateo,12/3/2015,Pending Construction,$157960233.00,39,Bay Area Counties
41 - San Mateo,12/3/2015,In Construction,$71703449.00,31,Bay Area Counties
41 - San Mateo,12/3/2015,In Closure,$5988758.00,17,Bay Area Counties
43 - Santa Clara,12/3/2015,In Review,$266519963.00,85,Bay Area Counties
43 - Santa Clara,12/3/2015,Pending Construction,$12044092.00,46,Bay Area Counties
43 - Santa Clara,12/3/2015,In Construction,$1692365341.00,126,Bay Area Counties
43 - Santa Clara,12/3/2015,In Closure,$144173135.00,41,Bay Area Counties
48 - Solano,12/3/2015,In Review,$57790056.00,11,Bay Area Counties
48 - Solano,12/3/2015,Pending Construction,$1272530.00,13,Bay Area Counties
48 - Solano,12/3/2015,In Construction,$45129270.00,29,Bay Area Counties
48 - Solano,12/3/2015,In Closure,$9654378.00,27,Bay Area Counties
49 - Sonoma,12/3/2015,In Review,$5853896.00,27,Bay Area Counties
49 - Sonoma,12/3/2015,Pending Construction,$1697607.00,17,Bay Area Counties
49 - Sonoma,12/3/2015,In Construction,$18664279.00,63,Bay Area Counties
49 - Sonoma,12/3/2015,In Closure,$132131578.00,35,Bay Area Counties
56 - Ventura,12/3/2015,In Review,$76272597.00,50,Greater Los Angeles Counties
56 - Ventura,12/3/2015,Pending Construction,$26967636.00,36,Greater Los Angeles Counties
56 - Ventura,12/3/2015,In Construction,$548731262.00,96,Greater Los Angeles Counties
56 - Ventura,12/3/2015,In Closure,$39849981.00,31,Greater Los Angeles Counties
57 - Yolo,12/3/2015,In Review,$3551086.00,4,Greater Sacramento Counties
57 - Yolo,12/3/2015,Pending Construction,$2970726.00,12,Greater Sacramento Counties
57 - Yolo,12/3/2015,In Construction,$4482805.00,13,Greater Sacramento Counties
57 - Yolo,12/3/2015,In Closure,$823730.00,2,Greater Sacramento Counties
01 - Alameda,12/17/2015,In Review,$137994324.00,67,Bay Area Counties
01 - Alameda,12/17/2015,Pending Construction,$76776913.00,112,Bay Area Counties
01 - Alameda,12/17/2015,In Construction,$529586623.00,139,Bay Area Counties
01 - Alameda,12/17/2015,In Closure,$177630421.00,81,Bay Area Counties
07 - Contra Costa,12/17/2015,In Review,$27152003.00,28,Bay Area Counties
07 - Contra Costa,12/17/2015,Pending Construction,$10947717.00,29,Bay Area Counties
07 - Contra Costa,12/17/2015,In Construction,$41622153.00,72,Bay Area Counties
07 - Contra Costa,12/17/2015,In Closure,$9589663.00,25,Bay Area Counties
09 - El Dorado,12/17/2015,In Review,$5562790.00,5,Greater Sacramento Counties
09 - El Dorado,12/17/2015,Pending Construction,$116380.00,2,Greater Sacramento Counties
09 - El Dorado,12/17/2015,In Construction,$14580182.00,14,Greater Sacramento Counties
09 - El Dorado,12/17/2015,In Closure,$141260.00,3,Greater Sacramento Counties
19 - Los Angeles,12/17/2015,In Review,$598170359.00,543,Greater Los Angeles Counties
19 - Los Angeles,12/17/2015,Pending Construction,$233683138.00,519,Greater Los Angeles Counties
19 - Los Angeles,12/17/2015,In Construction,$929573293.00,894,Greater Los Angeles Counties
19 - Los Angeles,12/17/2015,In Closure,$1187806954.00,513,Greater Los Angeles Counties
21 - Marin,12/17/2015,In Review,$189888577.00,19,Bay Area Counties
21 - Marin,12/17/2015,Pending Construction,$99257729.00,18,Bay Area Counties
21 - Marin,12/17/2015,In Construction,$16421823.00,30,Bay Area Counties
21 - Marin,12/17/2015,In Closure,$20464366.00,16,Bay Area Counties
28 - Napa,12/17/2015,In Review,$3014827.00,22,Bay Area Counties
28 - Napa,12/17/2015,Pending Construction,$384314.00,9,Bay Area Counties
28 - Napa,12/17/2015,In Construction,$3508260.00,18,Bay Area Counties
28 - Napa,12/17/2015,In Closure,$85547386.00,18,Bay Area Counties
30 - Orange,12/17/2015,In Review,$95074722.00,78,Greater Los Angeles Counties
30 - Orange,12/17/2015,Pending Construction,$14972339.00,54,Greater Los Angeles Counties
30 - Orange,12/17/2015,In Construction,$106145041.00,193,Greater Los Angeles Counties
30 - Orange,12/17/2015,In Closure,$55611864.00,160,Greater Los Angeles Counties
31 - Placer,12/17/2015,In Review,$1887627.00,16,Greater Sacramento Counties
31 - Placer,12/17/2015,Pending Construction,$1383797.00,9,Greater Sacramento Counties
31 - Placer,12/17/2015,In Construction,$16954990.00,41,Greater Sacramento Counties
31 - Placer,12/17/2015,In Closure,$18645394.00,18,Greater Sacramento Counties
34 - Sacramento,12/17/2015,In Review,$75233414.00,63,Greater Sacramento Counties
34 - Sacramento,12/17/2015,Pending Construction,$124449679.00,59,Greater Sacramento Counties
34 - Sacramento,12/17/2015,In Construction,$300469188.00,133,Greater Sacramento Counties
34 - Sacramento,12/17/2015,In Closure,$116373377.00,67,Greater Sacramento Counties
38 - San Francisco,12/17/2015,In Review,$419699759.00,50,Bay Area Counties
38 - San Francisco,12/17/2015,Pending Construction,$33738555.00,38,Bay Area Counties
38 - San Francisco,12/17/2015,In Construction,$1235644430.00,136,Bay Area Counties
38 - San Francisco,12/17/2015,In Closure,$398943584.00,28,Bay Area Counties
41 - San Mateo,12/17/2015,In Review,$77840601.00,26,Bay Area Counties
41 - San Mateo,12/17/2015,Pending Construction,$157960233.00,39,Bay Area Counties
41 - San Mateo,12/17/2015,In Construction,$71703449.00,31,Bay Area Counties
41 - San Mateo,12/17/2015,In Closure,$5988758.00,17,Bay Area Counties
43 - Santa Clara,12/17/2015,In Review,$266519963.00,85,Bay Area Counties
43 - Santa Clara,12/17/2015,Pending Construction,$12044092.00,46,Bay Area Counties
43 - Santa Clara,12/17/2015,In Construction,$1692365341.00,126,Bay Area Counties
43 - Santa Clara,12/17/2015,In Closure,$144173135.00,41,Bay Area Counties
48 - Solano,12/17/2015,In Review,$57790056.00,11,Bay Area Counties
48 - Solano,12/17/2015,Pending Construction,$1272530.00,13,Bay Area Counties
48 - Solano,12/17/2015,In Construction,$45129270.00,29,Bay Area Counties
48 - Solano,12/17/2015,In Closure,$9654378.00,27,Bay Area Counties
49 - Sonoma,12/17/2015,In Review,$5853896.00,27,Bay Area Counties
49 - Sonoma,12/17/2015,Pending Construction,$1697607.00,17,Bay Area Counties
49 - Sonoma,12/17/2015,In Construction,$18664279.00,63,Bay Area Counties
49 - Sonoma,12/17/2015,In Closure,$132131578.00,35,Bay Area Counties
56 - Ventura,12/17/2015,In Review,$76272597.00,50,Greater Los Angeles Counties
56 - Ventura,12/17/2015,Pending Construction,$26967636.00,36,Greater Los Angeles Counties
56 - Ventura,12/17/2015,In Construction,$548731262.00,96,Greater Los Angeles Counties
56 - Ventura,12/17/2015,In Closure,$39849981.00,31,Greater Los Angeles Counties
57 - Yolo,12/17/2015,In Review,$3551086.00,4,Greater Sacramento Counties
57 - Yolo,12/17/2015,Pending Construction,$2970726.00,12,Greater Sacramento Counties
57 - Yolo,12/17/2015,In Construction,$4482805.00,13,Greater Sacramento Counties
57 - Yolo,12/17/2015,In Closure,$823730.00,2,Greater Sacramento Counties
01 - Alameda,12/31/2015,In Review,$142250886.00,63,Bay Area Counties
01 - Alameda,12/31/2015,Pending Construction,$74813876.00,98,Bay Area Counties
01 - Alameda,12/31/2015,In Construction,$529734738.00,140,Bay Area Counties
01 - Alameda,12/31/2015,In Closure,$68128351.00,83,Bay Area Counties
07 - Contra Costa,12/31/2015,In Review,$26299725.00,23,Bay Area Counties
07 - Contra Costa,12/31/2015,Pending Construction,$12282907.00,33,Bay Area Counties
07 - Contra Costa,12/31/2015,In Construction,$40649993.00,60,Bay Area Counties
07 - Contra Costa,12/31/2015,In Closure,$12227860.00,33,Bay Area Counties
09 - El Dorado,12/31/2015,In Review,$5592540.00,6,Greater Sacramento Counties
09 - El Dorado,12/31/2015,Pending Construction,$116380.00,2,Greater Sacramento Counties
09 - El Dorado,12/31/2015,In Construction,$14441902.00,13,Greater Sacramento Counties
09 - El Dorado,12/31/2015,In Closure,$223815.00,3,Greater Sacramento Counties
19 - Los Angeles,12/31/2015,In Review,$496548380.00,527,Greater Los Angeles Counties
19 - Los Angeles,12/31/2015,Pending Construction,$216115942.00,503,Greater Los Angeles Counties
19 - Los Angeles,12/31/2015,In Construction,$951222404.00,904,Greater Los Angeles Counties
19 - Los Angeles,12/31/2015,In Closure,$1144357941.00,485,Greater Los Angeles Counties
21 - Marin,12/31/2015,In Review,$212631895.00,17,Bay Area Counties
21 - Marin,12/31/2015,Pending Construction,$6969995.00,21,Bay Area Counties
21 - Marin,12/31/2015,In Construction,$85845378.00,28,Bay Area Counties
21 - Marin,12/31/2015,In Closure,$18964384.00,11,Bay Area Counties
28 - Napa,12/31/2015,In Review,$3496657.00,27,Bay Area Counties
28 - Napa,12/31/2015,Pending Construction,$659314.00,10,Bay Area Counties
28 - Napa,12/31/2015,In Construction,$3461788.00,17,Bay Area Counties
28 - Napa,12/31/2015,In Closure,$85258250.00,14,Bay Area Counties
30 - Orange,12/31/2015,In Review,$94710397.00,82,Greater Los Angeles Counties
30 - Orange,12/31/2015,Pending Construction,$13793995.00,55,Greater Los Angeles Counties
30 - Orange,12/31/2015,In Construction,$106266883.00,189,Greater Los Angeles Counties
30 - Orange,12/31/2015,In Closure,$50411920.00,170,Greater Los Angeles Counties
31 - Placer,12/31/2015,In Review,$2640866.00,16,Greater Sacramento Counties
31 - Placer,12/31/2015,Pending Construction,$1419623.00,10,Greater Sacramento Counties
31 - Placer,12/31/2015,In Construction,$16166902.00,37,Greater Sacramento Counties
31 - Placer,12/31/2015,In Closure,$19443606.00,22,Greater Sacramento Counties
34 - Sacramento,12/31/2015,In Review,$83536986.00,57,Greater Sacramento Counties
34 - Sacramento,12/31/2015,Pending Construction,$125756001.00,66,Greater Sacramento Counties
34 - Sacramento,12/31/2015,In Construction,$302210912.00,135,Greater Sacramento Counties
34 - Sacramento,12/31/2015,In Closure,$116621203.00,64,Greater Sacramento Counties
38 - San Francisco,12/31/2015,In Review,$418507856.00,47,Bay Area Counties
38 - San Francisco,12/31/2015,Pending Construction,$34615094.00,41,Bay Area Counties
38 - San Francisco,12/31/2015,In Construction,$1236010332.00,133,Bay Area Counties
38 - San Francisco,12/31/2015,In Closure,$400732828.00,27,Bay Area Counties
41 - San Mateo,12/31/2015,In Review,$9375173.00,23,Bay Area Counties
41 - San Mateo,12/31/2015,Pending Construction,$139182174.00,41,Bay Area Counties
41 - San Mateo,12/31/2015,In Construction,$53212476.00,31,Bay Area Counties
41 - San Mateo,12/31/2015,In Closure,$6826800.00,17,Bay Area Counties
43 - Santa Clara,12/31/2015,In Review,$246209966.00,85,Bay Area Counties
43 - Santa Clara,12/31/2015,Pending Construction,$34323573.00,54,Bay Area Counties
43 - Santa Clara,12/31/2015,In Construction,$1689209574.00,123,Bay Area Counties
43 - Santa Clara,12/31/2015,In Closure,$143688247.00,40,Bay Area Counties
48 - Solano,12/31/2015,In Review,$58787045.00,13,Bay Area Counties
48 - Solano,12/31/2015,Pending Construction,$1006797.00,9,Bay Area Counties
48 - Solano,12/31/2015,In Construction,$46058354.00,34,Bay Area Counties
48 - Solano,12/31/2015,In Closure,$9388058.00,25,Bay Area Counties
49 - Sonoma,12/31/2015,In Review,$11405396.00,30,Bay Area Counties
49 - Sonoma,12/31/2015,Pending Construction,$1636606.00,20,Bay Area Counties
49 - Sonoma,12/31/2015,In Construction,$17882248.00,61,Bay Area Counties
49 - Sonoma,12/31/2015,In Closure,$133098426.00,36,Bay Area Counties
56 - Ventura,12/31/2015,In Review,$76344107.00,47,Greater Los Angeles Counties
56 - Ventura,12/31/2015,Pending Construction,$22334268.00,38,Greater Los Angeles Counties
56 - Ventura,12/31/2015,In Construction,$553796938.00,82,Greater Los Angeles Counties
56 - Ventura,12/31/2015,In Closure,$40024465.00,37,Greater Los Angeles Counties
57 - Yolo,12/31/2015,In Review,$3770500.00,4,Greater Sacramento Counties
57 - Yolo,12/31/2015,Pending Construction,$2773312.00,11,Greater Sacramento Counties
57 - Yolo,12/31/2015,In Construction,$4584316.00,13,Greater Sacramento Counties
57 - Yolo,12/31/2015,In Closure,$1181659.00,4,Greater Sacramento Counties
01 - Alameda,1/14/2016,In Review,$138883672.00,58,Bay Area Counties
01 - Alameda,1/14/2016,Pending Construction,$74468579.00,99,Bay Area Counties
01 - Alameda,1/14/2016,In Construction,$533710926.00,139,Bay Area Counties
01 - Alameda,1/14/2016,In Closure,$67690424.00,80,Bay Area Counties
07 - Contra Costa,1/14/2016,In Review,$26366725.00,24,Bay Area Counties
07 - Contra Costa,1/14/2016,Pending Construction,$12266624.00,31,Bay Area Counties
07 - Contra Costa,1/14/2016,In Construction,$40410573.00,58,Bay Area Counties
07 - Contra Costa,1/14/2016,In Closure,$12503462.00,37,Bay Area Counties
09 - El Dorado,1/14/2016,In Review,$5553853.00,5,Greater Sacramento Counties
09 - El Dorado,1/14/2016,Pending Construction,$116380.00,2,Greater Sacramento Counties
09 - El Dorado,1/14/2016,In Construction,$14442841.00,13,Greater Sacramento Counties
09 - El Dorado,1/14/2016,In Closure,$223815.00,3,Greater Sacramento Counties
19 - Los Angeles,1/14/2016,In Review,$506409769.00,523,Greater Los Angeles Counties
19 - Los Angeles,1/14/2016,Pending Construction,$206196568.00,458,Greater Los Angeles Counties
19 - Los Angeles,1/14/2016,In Construction,$950879094.00,873,Greater Los Angeles Counties
19 - Los Angeles,1/14/2016,In Closure,$1135476028.00,474,Greater Los Angeles Counties
21 - Marin,1/14/2016,In Review,$222961982.00,18,Bay Area Counties
21 - Marin,1/14/2016,Pending Construction,$6693790.00,19,Bay Area Counties
21 - Marin,1/14/2016,In Construction,$86131415.00,29,Bay Area Counties
21 - Marin,1/14/2016,In Closure,$19058345.00,12,Bay Area Counties
28 - Napa,1/14/2016,In Review,$3325707.00,27,Bay Area Counties
28 - Napa,1/14/2016,Pending Construction,$937764.00,11,Bay Area Counties
28 - Napa,1/14/2016,In Construction,$3463388.00,17,Bay Area Counties
28 - Napa,1/14/2016,In Closure,$85258250.00,14,Bay Area Counties
30 - Orange,1/14/2016,In Review,$106698001.00,83,Greater Los Angeles Counties
30 - Orange,1/14/2016,Pending Construction,$13553959.00,53,Greater Los Angeles Counties
30 - Orange,1/14/2016,In Construction,$105253130.00,188,Greater Los Angeles Counties
30 - Orange,1/14/2016,In Closure,$51868351.00,166,Greater Los Angeles Counties
31 - Placer,1/14/2016,In Review,$2650221.00,16,Greater Sacramento Counties
31 - Placer,1/14/2016,Pending Construction,$1011695.00,10,Greater Sacramento Counties
31 - Placer,1/14/2016,In Construction,$16615202.00,36,Greater Sacramento Counties
31 - Placer,1/14/2016,In Closure,$19487632.00,24,Greater Sacramento Counties
34 - Sacramento,1/14/2016,In Review,$82282497.00,49,Greater Sacramento Counties
34 - Sacramento,1/14/2016,Pending Construction,$126625651.00,70,Greater Sacramento Counties
34 - Sacramento,1/14/2016,In Construction,$297656485.00,129,Greater Sacramento Counties
34 - Sacramento,1/14/2016,In Closure,$128449911.00,71,Greater Sacramento Counties
38 - San Francisco,1/14/2016,In Review,$419797856.00,47,Bay Area Counties
38 - San Francisco,1/14/2016,Pending Construction,$35405094.00,42,Bay Area Counties
38 - San Francisco,1/14/2016,In Construction,$1237264948.00,136,Bay Area Counties
38 - San Francisco,1/14/2016,In Closure,$400773596.00,27,Bay Area Counties
41 - San Mateo,1/14/2016,In Review,$9793173.00,22,Bay Area Counties
41 - San Mateo,1/14/2016,Pending Construction,$139481174.00,40,Bay Area Counties
41 - San Mateo,1/14/2016,In Construction,$53434496.00,32,Bay Area Counties
41 - San Mateo,1/14/2016,In Closure,$6826800.00,17,Bay Area Counties
43 - Santa Clara,1/14/2016,In Review,$244406351.00,83,Bay Area Counties
43 - Santa Clara,1/14/2016,Pending Construction,$38312070.00,56,Bay Area Counties
43 - Santa Clara,1/14/2016,In Construction,$1690175123.00,126,Bay Area Counties
43 - Santa Clara,1/14/2016,In Closure,$145358660.00,42,Bay Area Counties
48 - Solano,1/14/2016,In Review,$58972045.00,15,Bay Area Counties
48 - Solano,1/14/2016,Pending Construction,$1006797.00,9,Bay Area Counties
48 - Solano,1/14/2016,In Construction,$46009170.00,32,Bay Area Counties
48 - Solano,1/14/2016,In Closure,$9438085.00,27,Bay Area Counties
49 - Sonoma,1/14/2016,In Review,$11387896.00,29,Bay Area Counties
49 - Sonoma,1/14/2016,Pending Construction,$1230506.00,16,Bay Area Counties
49 - Sonoma,1/14/2016,In Construction,$18002250.00,64,Bay Area Counties
49 - Sonoma,1/14/2016,In Closure,$133702516.00,39,Bay Area Counties
56 - Ventura,1/14/2016,In Review,$76160507.00,44,Greater Los Angeles Counties
56 - Ventura,1/14/2016,Pending Construction,$20915268.00,32,Greater Los Angeles Counties
56 - Ventura,1/14/2016,In Construction,$553514338.00,75,Greater Los Angeles Counties
56 - Ventura,1/14/2016,In Closure,$44491052.00,33,Greater Los Angeles Counties
57 - Yolo,1/14/2016,In Review,$3770500.00,4,Greater Sacramento Counties
57 - Yolo,1/14/2016,Pending Construction,$2773312.00,11,Greater Sacramento Counties
57 - Yolo,1/14/2016,In Construction,$4584316.00,13,Greater Sacramento Counties
